paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_application_cited,code_comments,country_first,comments,recorder_ID
53,10.1111/1365-2656.13568,2021,Journal of Animal Ecology,Research Article,Yes,Yes,"The raw data (numbers of individuals and endemicity for birds in the three study sites of the Himalayas–Hengduan Mountains of China) are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.jq2bvq88v (Hu et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,Yes,"The polynomial regression analyses, OLS regression models, PGLS regression models (using caper package) and model selection (using MuMln package) were performed in R.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,91
297,10.1111/1365-2435.14465,2023,Functional Ecology,Research Article,Yes,Yes,Data are available on Mendeley Data (http://doi.org/10.17632/b4hjkcnypm.1).,Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,No,NA,Complete,Yes,"The γ diversity of HP communities was defined as the total HP richness found across samples of a plant species at each seep, and was estimated as asymptotic HP richness using the Chao estimator with the package iNEXT (Hsieh et al., 2020) in R v4.2.2 (R Core Team, 2022).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,78
1953,10.1111/1365-2435.13617,2020,Functional Ecology,Research Article,Yes,No,"Data were archived in the Dryad Digital Repository: https://doi.org/10.5061/dryad.wwpzgmsgp (Tan, Peiffer, Ali, Luthe, & Felton, 2020).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,Unsure about the author's use of code as not clearly mentioned,147
1236,10.1111/1365-2435.14012,2022,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.pg4f4qrrg (Wang et al., 2022)",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,10,Complete,Yes,We conducted analyses by using the lme 4 package in r with ‘block' treated as a random effect,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,12
5349,10.1111/1365-2745.12883,2017,Journal of Ecology,Research Article,Yes,Yes,"All data have been archived and made publically available via the University of Illinois, Illinois Data Bank: https://doi.org/10.13012/b2idb-0478588_v2 (Price, Spyreas, & Matthews, 2017).",Yes,Other repo/database,Yes,Yes,CC0,Yes,No,.csv/.tsv,Yes,5,NA,Yes,"Randomization procedures were based on those described by Howell (2015) and carried out in r (R Core Team, 2015)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,136
393,10.1111/1365-2435.14686,2024,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.m37pvmdc1 (González-Chaves et al., 2024).",Yes,Dryad,Yes,Yes,CC BY derivatives,Yes,Yes,.csv/.tsv,Yes,8,Complete,Yes,"Additionally, we calculated functional diversity metrics using the categorical and continuous abovementioned functional traits, with the functional diversity function of the FD package in r (R core Team, 2023).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,NA,94
21,10.1111/2041-210X.14008,2022,Methods in Ecology and Evolution,Research Article,Yes,Yes,"All R scripts and datasets are available on the GitHub repository ‘stephanpau/SOM_TunaFisheries’ (https://github.com/stephanpau/SOM_TunaFisheries) and on Zenodo (Stephan et al., 2022).",Yes,"GitHub, GitLab, Codeberg or similar platform;Zenodo",Unsure,Unsure,NA,Yes,Yes,.xls(x),Yes,7,Complete,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",NA,Unsure,NA,No,Yes,Yes,NA,R,Yes,7,9,No,NA,NA,NA,France;Switzerland,NA,58
7276,10.1111/2041-210X.13438,2020,Methods in Ecology and Evolution,Application,No,NA,"Source code, documentation and deployment instructions are available for each component of our system at http://doi.org/10.5281/zenodo.3885148 (Sethi & Orme, 2020; real-time monitoring devices), http://doi.org/10.5281/zenodo.3885205 (Orme & Sethi, 2020; acoustics-db server) and https://doi.org/10.5281/zenodo.3897488 (Signorelli, Sethi, & Orme, 2020; public-facing website).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC0,Yes,Yes,Yes,native source code,Python;Shell,Yes,10,10,Yes,Not an R package,NA,NA,NA,NA,120
2696,10.1111/1365-2435.14696,2024,Functional Ecology,Research Article,Yes,Yes,"Data reported in the manuscript are available from the Zenodo Digital Repository: https://doi.org/10.5281/zenodo.13986711 (Lu, Wenglein, et al., 2024).",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,7,High,Yes,"All analyses were conducted in R v4.4.0 (R Core Team, 2024).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,NA,81
1326,10.1111/1365-2435.13502,2020,Functional Ecology,Research Article,Yes,Yes,"The source data for this manuscript are deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.k6djh9w39 (Mohiley, Tielboerger, Seifan, & Gruntman, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,"""IBM SPSS Statistics 22 was used for all the statistical analyses""",103
550,10.1111/1365-2664.14637,2024,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.hmgqnk9r5 (Blubaugh et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,9,Complete,Yes,"Annual mean counts for 2021 and 2022 were pooled across all sampled plants in each garden bed and site and were analysed with linear mixed-effects models with the glmmTMB package of R (Brooks et al., 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,66
214,10.1111/1365-2656.13134,2019,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available are from the Dryad Digital Repository: https://doi.org/10.5061/dryad.2547d7wmj (Lundblad & Conway, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,Yes,"We used package RMark (Laake, 2013) when selecting among models of adult and daily nest survival, and based model selection on AICc (Burnham & Anderson, 2002), implemented with the Multi-model Inference (MuMin) package in R (Barton, 2017) for all other analyses.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,55
1952,10.1111/2041-210X.12987,2018,Methods in Ecology and Evolution,Research Article,Yes,Yes,"r code for all analyses is available from https://doi.org/10.5281/zenodo.1167536 (Close et al., 2018), and is also available on GitHub at https://github.com/rclose/SSDCs.",Yes,"GitHub, GitLab, Codeberg or similar platform;Zenodo",Yes,Yes,Other,Yes,Needs specific software or too large,.csv/.tsv;.txt,Yes,7,High,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,Other,Unsure,Yes,Maybe if I had the right software,native source code,R,Yes,7,NA,Yes,Unable to check,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,87
1270,10.1111/1365-2745.13155,2019,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.n7r0qk8 (van der Heijden, Powers, & Schnitzer, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt,Yes,6,Unsure,Yes,"All analyses were carried out in R 3.1.2 (R Core Team, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,141
20,10.1111/1365-2745.13974,2022,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.h70rxwdmz (Jaworski et al., 2022a). The repository contains all datasets as well as a metafile and readme file. R code used for data analyses available from the Zenodo Repository https://doi.org/10.5281/zenodo.6914377 (Jaworski et al., 2022b).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,4,Complete,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,MIT,No,Yes,Yes,native source code,R,No,NA,2,No,Not an R package,NA,"No unit testing or containerisation; all code in one script for all data processing, analysis, and visualisation; and very little commenting",France,NA,76
7178,10.1002/2688-8319.12094,2021,Ecological Solutions and Evidence,Research Article,Yes,Yes,"Complete data sets for each sampling year, including plate images, sequence data and the archived GitHub repositories, are available in the Zenodo server: https://doi.org/10.5281/zenodo.5094576 (Aronoff, 2021). Plots or information that is ‘not shown’ in the text above, for instance, the ‘Total_CFU’ plots, is also available in this Zenodo dataset.",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv;.doc(x);.xls(x);.pkl;.png;.jpg;.NEF,Yes,2,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",Yes,Unsure,NA,No,Yes,Yes,notebook,Python,Yes,5,9,No,Not an R package,NA,NA,Switzerland,NA,22
4046,10.1111/1365-2664.13827,2021,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.f7m0cfxv0 (Hawkes et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,8,Complete,Yes,"All analyses were carried out in R (R Core Team, 2015).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,119
1188,10.1002/pan3.10133,2020,People and Nature,Research Article,Yes,Yes,"All data from this study are publically available in the online database Dryad Digital Repository: https://doi-org.libproxy.ucl.ac.uk/10.5061/dryad.brv15dv75 (Miller et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Fair,Yes,NA,Yes,No,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,.txt,R,No,NA,9,No,Not an R package,NA,NA,Indonesia;United States of America,The code refers to a dataset that does not exist in the archived data and the data in the archive do not match those mentioned in the code.,108
90,10.1111/2041-210X.13579,2021,Methods in Ecology and Evolution,Practical Tools,Yes,Yes,"The data used in this research are publicly available from the figshare repository https://doi.org/10.6084/m9.figshare.13713448.v1. The Arduino source code used in this study is publicly available from the GitHub and Zenodo repositories http://doi.org/10.5281/zenodo.4520391 (Lopez-Canfin et al., 2021).",Yes,Figshare,Yes,NA,CC BY,Yes,Yes,.xls(x),Yes,6,Complete,Yes,"Statistical analyses were performed with r software v. 3.6.3 (R Core Team, 2019)",Yes,Yes,Yes,Zenodo,NA,Yes,Other,No,Yes,Maybe if I had the right software,native source code,Other,Yes,3,NA,No,Not an R package,NA,NA,Spain,NA,20
1271,10.1111/1365-2435.13151,2018,Functional Ecology,Research Article,Yes,Yes,"The primary data used in this study are archived at the Dryad Digital Repository: https://doi.org/10.5061/dryad.tv8v1d6 CaraDonna, Cunningham, and Iler (2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,9,Complete,Yes,"Differences in temperature among treatments were analysed using linear mixed effects models in r 3.3.1 (lme4 package in R; Bolker et al., 2009; Bates et al., 2015; R Core Team, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,141
2505,10.1111/1365-2745.13328,2020,Journal of Ecology,Research Article,Yes,Yes,"The data used in this study are publicly available via: https://doi.org/10.6084/m9.figshare.7676219.v1 (Neumann, Godbold, Hirano, & Finer, 2019).",Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv;.txt,Yes,10,Fair,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austria,NA,72
1570,10.1111/2041-210X.13034,2018,Methods in Ecology and Evolution,Research Article,Yes,Yes,"Custom Bash and Python scripts constituting the pipeline are fully available online on GitHub through the repository https://doi.org/10.5281/zenodo.1252193. Pipeline outputs (final fasta files of in silico validated SNPs) for each of the 40 species included in this study, along with technical information about SNP MassARRAY genotyping for fish species from French Guiana (including SNP multiplexes composition, amplification, and extension primers sequences), are deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.2b6b43k (Delord et al., 2018).",Yes,Dryad,NA,Yes,CC0,Yes,Yes,.fasta,Yes,7,High,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC BY,No,Yes,Yes,native source code,Python;Shell,Yes,5,6,No,Not an R package,NA,NA,France,NA,27
534,10.1111/1365-2435.13258,2018,Functional Ecology,Research Article,Yes,Yes,"Data deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.30nm60b (Goos, Swain, Munch, & Walsh, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,"Seems like code would be needed for the statistical analysis, but i cant see any reference to code in the ms",123
1287,10.1111/1365-2435.14550,2017,Functional Ecology,Research Article,Yes,Yes,"
DATA AVAILABILITY STATEMENT

The data are available from Knowledge Network for Biocomplexity https://doi.org/10.5063/F11V5CFN (Celebias et al., 2024).
",Yes,Other repo/database,Yes,Unsure,NA,Yes,Yes,.csv/.tsv,No,NA,High,Yes,"We conducted the analysis in R (R Core Team, 2018).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Azerbaijan;Poland,NA,106
1774,10.1002/pan3.10677,2024,People and Nature,Research Article,Yes,Yes,"Data supporting this study will be available from DRYAD following a 12 month embargo. The verified data on slug species occurrences is available via the NBN atlas and GBIF: Royal Horticultural Society (2023), RHS Slugs Count. https://doi.org/10.15468/qr5d26.",Yes,Other repo/database,Yes,Yes,CC BY,Yes,No,NA,Yes,2,NA,Yes,"Data were analysed using R (R Core Team, 2022)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,124
1341,10.1111/1365-2435.13867,2021,Functional Ecology,Research Article,Yes,Yes,"R code and data associated with the manuscript are at https://doi.org/10.5061/dryad.vdncjsxtf (Bauman et al., 2021)",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,4,Complete,Yes,NA,Yes,Yes,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,native source code,R,Yes,1,7,No,Not an R package,NA,NA,Singapore,"Dryad archive includes model selection parameters (xls file), which I've not considered as ""data"" - they're results. | Data appear to be comprehensive, but hard to tell without detailed README (describing column names). | I treated the Dryad doi as a doi for both data and code.",110
592,10.1002/2688-8319.12307,2024,Ecological Solutions and Evidence,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.qrfj6q5pf (Blaydes et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,10,Complete,Yes,"The rstatix package (Kassambara, 2020) .... using the lme4 package (Bates et al., 2015)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,146
1069,10.1111/1365-2745.13777,2021,Journal of Ecology,Research Article,Yes,Yes,"LC-MS data can be accessed at the MetaboLights data repository for metabolomics experiments (Haug et al., 2020) as MTBLS1968 (https://www.ebi.ac.uk/metabolights/MTBLS1968/). Sampling data and sample specific data as well as the R code for producing the sunburst plots from the ClassyFire results are available at Zenodo https://doi.org/10.5281/zenodo.5255811.",Yes,Zenodo;Other repo/database,Yes,Yes,CC BY,Yes,Yes,.txt;.xls(x),Quasi-README,2,Unsure,Yes,"NOT ALL OF THE CODE IS ARCHIVED:
 To compare the data matrices, we performed multiple response permutation procedure (MRPP) with the R-package vegan (v.2.5-6; https://CRAN.R-project.org/package=vegan ) in R (version 3.6.0; RCoreTeam, 2020).
Principal coordinate analysis (PCoA) was calculated using R version 4.0.4 by using the function ‘pco’ in the package ecodist: (v. 2.0.7), using the data matrix of the metabolomics dataset with ‘Bray–Curtis’ as dissimilarity measure. The distance matrix was calculated using the package vegan (v. 2.5-7) and the function ‘vegdist’. PERMANOVA was calculated using the ‘adonis2’ function in vegan with ‘Bray–Curtis’ as distance measure.",Yes,Yes,Yes,Zenodo,"Yes, same as data",Yes,CC BY,No,Yes,Yes,native source code,R,No,NA,9,No,Not an R package,NA,"The code is provided for a specific part of the data analysis/presentation, NOT for many of the other analyses (performed also in R with existing packages like vegan)",Germany,NA,68
1327,10.1111/1365-2664.14712,2024,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository Data https://doi.org/10.5061/dryad.905qftttr (Larsen et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,8,Complete,Yes,"Data analysis was performed in r (R Core Team, 2022) using the lme4 package (Bates et al., 2014).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norway,NA,103
198,10.1111/1365-2664.12884,2017,Journal of Applied Ecology,Research Article,Yes,Yes,"Occupancy data for RFBE and mosquitofish, as well as r and matlab scripts used in the analysis are included in online Data S7 and uploaded to Dryad Digital Repository https://doi.org/10.5061/dryad.3r1v5 (Nicol et al. 2017). The GMDP toolbox is available from: http://www7.inra.fr/mia/T/GMDPtoolbox/.",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,9,Complete,Yes,NA,Yes,Yes,Yes,Dryad,Yes,No,NA,No,Yes,Maybe if I had the right software,native source code,MATLAB,Yes,9,9,No,Not an R package,NA,NA,Australia,NA,15
4702,10.1111/1365-2664.13065,2018,Journal of Applied Ecology,Research Article,Yes,Yes,"
DATA ACCESSIBILITY

Data are available in the United States Department of Agriculture National Agricultural Library (Ag Data Commons) https://doi.org/10.15482/USDA.ADC/1402049 (Milbrath, Davis, & Biazzo, 2017b).
",Yes,Other repo/database,Yes,NA,CC0,Yes,Yes,.csv/.tsv,Yes,5,Complete,Yes,"All npMANOVA models were fit in the adonis subroutine of the vegan package of r version 3.3.1 (R Development Core Team, 2017). All simulations and modelling analyses were performed within the technical computing environment matlab R2016a.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,16
6782,10.1111/1365-2435.13919,2021,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.66t1g1k2v (Wright et al., 2021).",Yes,Dryad,Yes,No,CC0,Yes,Yes,.csv/.tsv,No,NA,Complete,Yes,"Hypothesis tests were conducted using analysis of variance in the car package, and fitted effects were estimated using the effects package in r version 3.4.1 (R Core Team, 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,67
2697,10.1111/1365-2656.13135,2019,Journal of Animal Ecology,Research Article,Yes,Yes,"Data are deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.6t1g1jwv1 (Gavini, Quintero, & Tadey, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,Yes,"All statistical analyses were performed with the R environment (R Development Core Team, 2017) using the package 'lme4' (Bates, Maechler, Bolker, & Walker, 2015).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,81
3070,10.1111/1365-2664.13611,2020,Journal of Applied Ecology,Research Article,Yes,Yes,"Data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.s1rn8pk4k (Johansson, Kindvall, Askling, & Franzén, 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Fair,Yes,"For all analyses we used R.3.5.3 (R Core Team, 2019)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweden,NA,51
1340,10.1111/1365-2435.13566,2020,Functional Ecology,Research Article,Yes,Yes,"Original data associated with this article are deposited in Dryad Digital Repository https://doi.org/10.5061/dryad.08kpr r500 (Peña et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,3,High,Yes,"we fitted a linear mixed effect model (lm4 package in r, Bates, Maechler, Bolker, & Walker, 2015)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spain,NA,110
47,10.1111/1365-2664.14789,2020,Journal of Animal Ecology,Research Article,Yes,Yes,"Data to reproduce manuscript analyses are available on the Dryad Digital Repository: https://doi.org/10.5061/dryad.bcc2fqz7h (Lloyd, Oosthuizen, Bester, & de Bruyn, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt,Yes,3,Complete,Unsure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South Africa,Uses programme called e-surge,31
147,10.1002/2688-8319.12159,2022,Ecological Solutions and Evidence,Research Article,Yes,Yes,"Data deposited in Enlighten: Research Data http://doi.org/10.5525/gla.researchdata.1303 (Kavwele et al., 2022).",Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,.xls(x),Yes,5,High,Yes,All data manipulation and analysis were performed in Python,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,36
3544,10.1111/1365-2664.13228,2018,Journal of Applied Ecology,Research Article,Yes,Yes,"Acoustic data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.g1t3680 (Pinaud, Claireau, Leuchtmann, & Kerbiriou, 2018a).

Raw acoustic data are also archived and available via the French citizen science programme “VigieChiro” http://vigienature.mnhn.fr/page/participer-vigie-chiro, at the portal http://vigiechiro.herokuapp.com/ with the following site ID: 170692, 170732, 170733, 170734, 170735, 170774, 170776, 170777, 170817, 170818, 170858, 170859 and 170861.

Tracking data are available via Movebank https://doi.org/10.5441/001/1.3pk82706 (Pinaud, Claireau, Leuchtmann, & Kerbiriou, 2018b).",Yes,Dryad;Other repo/database,Yes,Yes,CC0,Yes,Yes,.txt,Yes,8,Complete,Yes,"All the analyses were done with r 3.3.2 (R Development Core Team, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,41
7944,10.1111/1365-2435.13928,2021,Functional Ecology,Research Article,Yes,Yes,"Simulation outputs and Supporting Information files are deposited in the Monash University research data repository https://doi.org/10.26180/15130803 (Duffy et al., 2021). Critical limit datasets are published with their respective sources.",Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv;.nex,Yes,4,Unsure,Yes,NA,Yes,No,Yes,Other repo/database,Yes,Yes,CC BY,No,Yes,Yes,.html;.pdf,R,No,NA,8,Unsure,Not an R package,NA,"Code is an example of how to conduct simulations, so not sure if it's complete, and as it's in markdown, it could be considered a vignette - but that's all there is",Australia,"I am encountering an issue when attempting to download data from an institutional repository. Security issue: ���Your connection is not private., Attackers might be trying to steal your information from au-east.erc.monash.edu.au (for example, passwords, messages, or credit cards). Learn more about this warning
net::ERR_CERT_DATE_INVALID"" i am enable to modify my system clock on because of security from my institutional computer",2
492,10.1111/1365-2664.14435,2023,Journal of Applied Ecology,Research Article,Yes,Yes,"Analyses reported in this article can be reproduced using the data available on the Dryad Digital Repository via https://doi.org/10.5061/dryad.wwpzgmsq7 (Singh et al., 2023).",Yes,Dryad,Yes,No,CC0,Yes,Yes,.csv/.tsv,Yes,10,Complete,Yes,"The 10 cm CHMs were smoothed using a 3*3 window in the R package rLiDAR (Silva et al., 2017) to eliminate irregular tree crown boundaries. The smoothed CHMs were then used to calculate AGB and tree density using a segmentation and local maximum variable window function (Popescu & Wynne, 2004) in the R package ForestTools (Plowright & Roussel, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,94
163,10.1111/1365-2656.12953,2019,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available are from the Dryad Digital Repository: https://doi.org/10.5061/dryad.9kj41f0 (Kutzer, Kurtz, & Armitage, 2018b).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,No,NA,Complete,Yes,"Statistical analyses were performed in R version 3.3.3 (R CoreTeam, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austria;Germany,Data collection from lab experiments.,142
1300,10.1111/2041-210X.14252,2023,Methods in Ecology and Evolution,Research Article,No,NA,"All data used within the manuscript are available as part of the disdat package on R (Elith et al., 2020). All R scripts used to produce simulations, obtain real datasets and perform analyses within the manuscript are archived on Zenodo (Dovers, 2023) or available at: https://github.com/ElliotDovers/Fast-IDM-Code.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,CC BY,Yes,Yes,Yes,native source code,R,Yes,9,6,No,Not an R package,NA,No unit tests but it includes R packages archives to improve reproducibility,NA,NA,4
7072,10.1111/1365-2745.13728,2021,Journal of Ecology,Research Article,Yes,Yes,"Raw data for Sphagnum traits, microbial communities and traits, aswell as environmental data related to this paper can be accessed
through the Figshare repository: https://doi.org/10.6084/m9.figshare.c.5191493 (Jassey et al., 2021).",Yes,Figshare,Yes,NA,CC BY,Yes,Yes,.xls(x),Yes,8,Complete,Yes,"All statistical analyses were performed in r 3.5.3 (R Core Team, 2019)
using packages, as specified below",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,71
1328,10.1111/1365-2745.13813,2021,Journal of Ecology,Research Article,Yes,Yes,"The data supporting the results in Figures 1-4 are available from Dryad Digital Repository https://doi.org/10.5061/dryad.1jwstqjtc (Yi et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,3,Fair,Yes,"All the above statistical analyses were performed using r version 3.6.2 (R Core Team, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,103
1093,10.1111/1365-2664.13024,2017,Journal of Applied Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.b5335 (Malawska & Topping, 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,Yes,The model has been developed in C++ object-oriented programming language,Yes,No,No,"GitHub, Codeberg, Gitlab, or similar platform",No,No,NA,No,NA,NA,NA,C/C++,No,NA,NA,No,NA,NA,NA,Denmark,NA,29
