Timestamp,1. Paper number,2. DOI of paper (please copy paste to avoid errors),3. Year of publication (on spreadsheet),4. Journal  (on spreadsheet),5. Article type  (on spreadsheet),6. Please paste the text of the Data Availability statement here,7. Does the paper have data?,1. Country of corresponding author  (on spreadsheet),"2. Country of first author. Use their main address on the paper. There may be more than one. We mean the address that is next to their name on the paper, NOT any “current address” that may be added for people who have recently moved institutions.","3. What georegion(s) were any novel data used in the paper collected from? Select all that apply. NOTE THIS MEANS DATA THAT WERE PHYSICALLY COLLECTED IN THESE COUNTRIES, DO NOT INCLUDE THINGS WHERE THE AUTHORS USED A DATASET FROM FRANCE BUT DID NOT ACTUALLY GO TO FRANCE TO COLLECT DATA :)",4. Are any authors (use their main address on the paper) based in the georegion the data were collected from?  Also check the Acknowledgments to see if data labourers from the georegion who are not authors are mentioned there instead.,Any comments about data equity that these Qs don't cover?,1. Are the data mentioned in the Data Availability statement?,2. Are you able to find the data using the link/instructions in the Data Availability statement?,3. Where are the data archived?,4. Does the dataset have a DOI?,5. Can you download the data?,6. Can you open the data?,7. What format are the data in?,8. Does the data have a README/metadata?,9. How useful is the README/metadata? Read the notes in the protocol to help with decisions here. SKIP THIS Q IF NO README EXISTS.,10. How complete is the archived data?,11. Does the data have a license?,"12. If yes, what license?",13. Has the data been cited (excluding the original paper it was archived for)? You can find this information on the Dryad and Figshare landing pages for the dataset on the right hand side. For other repositories it varies. If you can't find out easily just pick Unsure.,"14. If yes, how many times?  Enter number or Unclear",15. Has the data been cited by someone other than the original authors? You can find this by clicking on the citations and looking at the papers that cite the data.,"16. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","17. For any paper(s) citing the data, what georegions are on the authors main addresses (i.e. when doing the work)? Please select all relevant options.",0.1 Does the paper use code?,"0.2 If the paper uses code, and this is NOT archived (i.e. they mention using R or Python but don't provide any scripts) please copy-paste the text from the paper that alerted you to them using code...",0.3 Does the paper have archived code?,1. Is the code archiving described in the Data Availability (or equivalent) statement?,*Please paste the section of the text that refers to the archived code if this is NOT part of the Data Availability Statement*.,2. Are you able to find the code using the link/instructions in the Data Availability (or equivalent) statement?,3. Where are the code archived?,4. Does the code have a DOI?,5. Can you download the code?,6. Can you open the code?,7. What language is the code written in?,8. What format is the code in?,9. Does the code have a README?,10. How useful is the README? See the protocol for help with making decisions about this. SKIP THIS Q IF NO README EXISTS.,11. How well is the code annotated? See the protocol for help with making decisions about this.,12. Does the code have a separate vignette with examples of how the code should be used?,"13. If the code is an R Package, and it was previously available on CRAN/Bioconductor (as stated in the Data Availability statement), is it still available? Check this by trying to install it on the most recent version of R. If you don't know how to do this/can't do this choose ""Unable to check""","14. If the code is a package in another language (e.g. Python) published on PyPI please put the name of the package here and where it has been deposited we will see if it is still available. If you know how to look this up yourself, please do and mention whether it is still available here (Yes/No)",15. Does the code have a CITATION file?,16. Does the code have a license?,"17. If yes, what license?",18. APPLICATION papers only. How many times has the paper been cited? You can find this on the landing page of the paper.,19. Has the code been cited (excluding the original paper it was archived for)? Code = the archived code (not the paper or package).,"20. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","21. Do you have any other comments about the code? For example for those familiar with these processes, does the code use unit test? Doe it have continuous integration? Does it use docker/other containers?",21. Has the code been cited by someone other than the original authors?,"22. If yes, how many times? Enter number or Unclear",1. Did you have any issues recording data for this paper? If yes we will go back and check it for you later.,2. Any other comments about this paper?,2. What date did you do this? (YYYY-MM-DD),...62,...63,...64,...65,...66,...67,recorder_ID
2025/09/30 11:01:25 am GMT,6270,10.1111/2041-210X.13350,2020,Methods in Ecology and Evolution,Application,"The r package that is the subject of this paper is available on CRAN at https://CRAN.R-project.org/package=grainscape (Galpern, Doctolero, & Chubaty, 2019) and its external data folder includes the raster used to construct the examples in Figure 1. Both the manual distributed with the r package and the detailed tutorial in Appendix S2 contain the code necessary to reproduce analyses shown in Figure 1.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,Yes,"GitHub, Codeberg, Gitlab, or similar platform",Yes,Yes,Yes,"R (including Rmarkdown, Quarto);C/C++","native source code (e.g. .R, .py, .jl, etc);markdown / notebook containing code (e.g. .Rmd, .qmd, etc)",Yes,10,10,Yes,Yes,NA,Yes,Yes,GPL,17,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,41
2025/09/30 11:01:42 am GMT,1301,http://doi.org/10.1111/2041-210X.12911,2017,Methods in Ecology and Evolution,Application,"
DATA ACCESSIBILITY

The AcuityView package is freely available using the r software and can be downloaded from the CRAN. The source code for AcuityView has been archived using GitHub and is freely available from the Zenodo repository (https://doi.org/10.5281/zenodo.998916).
",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,"
DATA ACCESSIBILITY

The AcuityView package is freely available using the r software and can be downloaded from the CRAN. The source code for AcuityView has been archived using GitHub and is freely available from the Zenodo repository (https://doi.org/10.5281/zenodo.998916).
",Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo;CRAN",Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",Yes,9,10,No,Yes,NA,No,Yes,CC0;GPL;Says GPL(>=2) in the DESCRIPTION and Other (Open) in Zenodo,68,No,NA,"NO CI, no tests, no update since publication in 2017, still runs on R. Receives unimportant NOTEs on CRAN checks",No,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,4
2025/09/30 11:01:53 am GMT,535,http://doi.org/10.1111/1365-2745.14098,2023,Journal of Ecology,Research Article,"The plot-level evenness data are stored in the Research Data Repository of the Research Collection of ETH Zürich http://doi.org/10.3929/ethz-b-000597256. The GFBI database is 3rd party data, and is publicly available upon request at https://gfbinitiative.net/data/.",Yes,Switzerland,Switzerland,NO DATA COLLECTED,NA,NA,"No, but they are available on request",Yes,"Some are available on Research Data Repository of the Research Collection of ETH Zürich, others are available on request","first dataset has a doi, second does not","First dataset yes, second no","First yes, second no",.csv/.tsv,No,NA,Some analyses can be repeated but not all (~50% of analyses can be repeated).,No,NA,NA,NA,No,NA,NA,Yes,"The statistical analyses were performed in R version 3.5.1 (R Core Team, 2018). The code used to perform the statistical analyses can be found at Github, following this link: tinyurl.com/3vvf52v9.","Yes, but it's not explicitly mentioned in the data archiving statement",No - but it is described in the Methods,"The statistical analyses were performed in R version 3.5.1 (R Core Team, 2018). The code used to perform the statistical analyses can be found at Github, following this link: tinyurl.com/3vvf52v9.",Yes,"GitHub, Codeberg, Gitlab, or similar platform",No,Yes,Yes,"R (including Rmarkdown, Quarto)","markdown / notebook containing code (e.g. .Rmd, .qmd, etc)",No,NA,3,No,Not an R package,NA,No,Yes,BSD variants,NA,No,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,123
2025/09/30 11:01:56 am GMT,1329,10.1111/1365-2435.12930,2017,Functional Ecology,Research Article,"Data deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.j3572 (Schofield, Katselidis, Lilley, Reina, & Hays, 2017).",Yes,Australia,Australia,Greece,Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),No,NA,Unsure,Yes,CC0,Unsure,Unclear,Unclear,Unclear,UNCLEAR,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data annotation was too incomplete to judge whether the data was complete.,2025-09-30,NA,NA,NA,NA,NA,NA,103
2025/09/30 11:02:02 am GMT,2091,http://doi.org/10.1111/1365-2656.13980,2023,Journal of Animal Ecology,Research Article,"Data are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.zw3r228d3 (Chiba, 2023).",Yes,Japan,Japan,Japan,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,8,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Yes,"We used the Bayesian Markov chain Monte Carlo (MCMC) method for all analyses. These models were fitted using the ‘brms’ package 2.18.0 (Bürkner, 2017) which uses Stan (Stan Development Team, 2020) in R version 4.2.2 (R Core Team, 2022).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,5
2025/09/30 11:02:02 am GMT,188,http://doi.org/10.1111/1365-2664.14138,2022,Journal of Applied Ecology,Research Article,"The raw data used in our analysis were collected by the South Australia Department for Environment and Water and contain potentially confidential information. Therefore, these data have not been archived. We have published a summary dataset used in our statistical analysis, which contains the total possessions, breeding, sales and escapes for each species/subspecies, as well as collated species attributes and regulatory status, in Figshare. https://doi.org/10.6084/m9.figshare.16436379.v2 (Toomes et al., 2021).",Yes,Australia,Australia,Australia,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,Figshare,Yes,Yes,Yes,.xls(x),Yes,6,All the data necessary to reproduce all analyses and results are archived.,Yes,CC BY,No,NA,No,NA,NA,Yes,"All data analyses were conducted in the R software version 3.4.4 (R Core Development Team, 2019) and we used the PiecewiseSEM package to generate and evaluate SEMs (Lefcheck, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Raw data is not archived but summaries are, which authors say can reproduce their SEM analysis",2025-09-30,NA,NA,NA,NA,NA,NA,15
2025/09/30 11:02:11 am GMT,299,http://doi.org/10.1111/1365-2435.14479,2023,Functional Ecology,Research Article,"The data are available from Pangaea Data Repository: https://doi.org/10.1594/PANGAEA.962593 & https://doi.org/10.1594/PANGAEA.962841 (Wall et al., 2023a, 2023b).",Yes,Germany,Germany,Chile,Yes - One or more middle authors,NA,Yes,Yes,pangaea,Yes,Yes,Yes,.tab,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,CC BY,No,NA,No,NA,NA,Yes,"Analyses were performed using R-Studio 1.3.1073 with R version 4.0.2 (R Core Team, 2020; RStudio Team, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,78
2025/09/30 11:02:13 am GMT,507,10.1111/1365-2745.13398,2020,Journal of Ecology,Research Article,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.qv9s4mwbf (Hayes et al., 2020).",Yes,United States of America,United States of America,Mexico,No authors are based in the georegion,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),No,NA,All the data necessary to reproduce all analyses and results are archived.,No,NA,No,NA,No,NA,NA,Yes,"We used the MixSiar package (Stock & Semmens, 2016) to determine the proportion of saline water and non-saline mist water that comprised the mangrove leaf water post-mist exposure in the field misting experiment. MixSiar is a Bayesian mixing model that uses biotracer data to estimate the proportions of source contributions to a mixture (consumer).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,94
2025/09/30 11:02:20 am GMT,8100,10.1111/1365-2745.13671,2021,Journal of Ecology,Research Article,"Data are available on Figshare https://doi.org/10.6084/m9.figshare.13096061.v2 (De Pauw, 2020).",Yes,Belgium,Belgium,Belgium;France;Germany;Italy;Norway;Poland;Sweden;Switzerland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Figshare,Yes,Yes,Yes,.txt,No,NA,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,CC BY 4.0,No,NA,NA,NA,NA,Yes,"Phylogenetic diversity metrics were calculated, using the ‘pez’ r
package (Pearse et al., 2015).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,122
2025/09/30 11:02:22 am GMT,49,10.1111/1365-2656.12775,2017,Journal of Animal Ecology,Research Article,"The Sightings database, where the capture–mark–recapture data are curated, for the Macquarie Island Elephant Seals are available from the Australian Antarctic Data Centre, https://data.aad.gov.au/metadata/records/TAGS_Elephant_Seals (Burton, Van Den Hoff, & Hindell, 2017).",Yes,Australia,Australia,Australia,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Australian Antarctic Data Centre,Yes,Yes,File size too large,Unknown,Unsure,NA,Unsure,Yes,CC BY,Unsure,NA,Unclear,NA,NA,Yes,"Statistical analyses were computed using r version 3.2.3 (R Core Team, 2015) and candidate models were compared using Akaike information criterion (AIC, Burnham & Anderson, 2002).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,58
2025/09/30 11:02:24 am GMT,6783,10.1111/1365-2656.12687,2017,Journal of Animal Ecology,Research Article,All data used in this study have been deposited in Dryad Digital Repository https://doi.org/10.5061/dryad.9m6vp (Valtonen et al. 2017).,Yes,Finland,Finland,Hungary,Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),No,NA,All the data necessary to reproduce all analyses and results are archived.,No,NA,No,NA,No,NA,NA,Yes,"Apart from MDS and TRIM models, all other analyses were conducted with R version ≥2.14.1 (R Development Core Team 2014).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025/09/30,NA,NA,NA,NA,NA,NA,67
2025/09/30 11:02:56 am GMT,551,https://doi.org/10.1002/pan3.10618,2024,People and Nature,Research Article,All data sources are appropriately cited in the paper.,Yes,China,China,China,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,No,No,Supplementary materials,No,Yes,Yes,.doc(x),No,NA,The main analyses of the paper cannot be repeated with the data that has been archived.,Unsure,NA,Unsure,NA,Unclear,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-30,NA,NA,NA,NA,NA,NA,66
2025/09/30 11:02:57 am GMT,982,10.1111/1365-2745.13949,2022,Journal of Ecology,Research Article,"The data are available in the Dryad Digital Repository https://doi.org/10.5061/dryad.vt4b8gtvd (Seget, Bogdziewicz, Holeksa, Ledwoń, Piechnik, et al., 2022).",Yes,Poland,Poland,Poland,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,9,The main analyses of the paper cannot be repeated with the data that has been archived.,Yes,CC0,No,NA,No,NA,NA,Yes,"Because our response is a proportion, we applied a binomial generalised linear mixed model (GLMM), with a standard link (logit-link) function, implemented via the glmmTMB package (Brooks et al., 2017), in r (R Core Team, 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,86
2025/09/30 11:03:31 am GMT,320,https://doi.org/10.1111/1365-2656.13491,2021,Journal of Animal Ecology,Research Article,"Data collected for this project are available through Zenodo https://doi.org/10.5281/zenodo.4627774 (Kaylor et al., 2021).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Zenodo,Yes,Yes,Yes,.csv/.tsv,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Unsure,NA,Unsure,NA,Unclear,NA,NA,Yes,"'R Core Team. (2017). R: A language and environment for statistical comput-
ing. R Foundation for Statistical Computing. Retrieved from http://
www.r- project.org/' in citations.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,77
2025/09/30 11:03:57 am GMT,651,10.1111/1365-2745.13154,2019,Journal of Ecology,Research Article,"Data available through Digital Commons @ Georgia Southern repository https://doi.org/10.20429/data.2019.01 (Carroll et al., 2019).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Institutional repository,Yes,Yes,Yes,.csv/.tsv,Yes,9,All the data necessary to reproduce all analyses and results are archived.,Yes,CC BY,Unsure,NA,Unclear,NA,NA,Yes,NA,Yes,No,"We built the SEM in a Bayesian framework using JAGS (Plummer, 2003), run in the R environment (R Development Core Team, 2017).",Code is bundled with the data but not described separately.,Institutional repository,Yes,Yes,Yes,"R (including Rmarkdown, Quarto)",.txt,Yes,9,8,No,Not an R package,NA,No,Yes,CC BY,NA,Unclear,NA,NA,Unclear,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,79
2025/09/30 11:04:07 am GMT,3525,10.1111/1365-2656.14039,2024,Journal of Animal Ecology,Research Article,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.rbnzs7hjk (Toro-Delgado et al., 2023).",Yes,United Kingdom of Great Britain and Northern Ireland,Spain,Spain;United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,".zip, .md",Yes,9,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,Spain;United Kingdom of Great Britain and Northern Ireland,Yes,NA,Yes,It is described in the data ReadMe,NA,No,Dryad,No,No,No,"R (including Rmarkdown, Quarto);Python",.md,No,NA,3,No,Unable to check,NA,Unclear,Unclear,Unclear,NA,Unclear,NA,NA,Unclear,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,51
2025/09/30 11:04:13 am GMT,222,10.1111/1365-2745.13970,2022,Journal of Ecology,Research Article,Data are available on the BEF-China data portal: https://data.botanik.uni-halle.de/bef-china/datasets/655.,Yes,Switzerland,China,NO DATA COLLECTED,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,https://data.botanik.uni-halle.de/bef-china/datasets/655,No,No,NA,NA,NA,NA,Unsure,Unsure,NA,Unsure,NA,Unclear,NA,NA,Yes,All analyses were done in R 3.6.2 and ASReml-R 4.1.0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,36
2025/09/30 11:04:16 am GMT,1273,doi.org/10.1002/pan3.10428,2023,People and Nature,Research Article,All data related to this manuscript are made available in the Supplementary Materials and archived at https://doi.org/10.5061/dryad.7m0cfxpzq.,Yes,South Africa,South Africa,South Africa,Yes - First author;Yes - Last author;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,7,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,NA,NA,NA,Yes,"Inferential statistics were performed in R 3.2.3 (R Core Team, 2015).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,141
2025/09/30 11:04:17 am GMT,1149,10.1002/pan3.10094,2020,People and Nature,Research Article,"Data deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.d2547d80k (Shanahan, Raile, Naughton, Wallner, & Houghton, 2020).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,97
2025/09/30 11:04:26 am GMT,2838,10.1111/2041-210X.13704,2021,Methods in Ecology and Evolution,Research Article,"All data and scripts associated with this project can be found at https://github.com/nicksard/Pedigree-Accumulation-2021. The GitHub repository has been archived using Zenodo and assigned a DOI https://doi.org/10.5281/zenodo.5187888 (Sard et al., 2021).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,"GitHub, GitLab, Codeberg or similar platform",Yes,Yes,Yes,.txt,Yes,4,All the data necessary to reproduce all analyses and results are archived.,Yes,MIT license,Unsure,NA,NA,NA,NA,Yes,NA,Yes,Yes,"All data and scripts associated with this project can be found at https://github.com/nicksard/Pedigree-Accumulation-2021. The GitHub repository has been archived using Zenodo and assigned a DOI https://doi.org/10.5281/zenodo.5187888 (Sard et al., 2021).",Yes,"GitHub, Codeberg, Gitlab, or similar platform",Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",Yes,8,8,Yes,No,NA,No,Yes,MIT,NA,Unclear,NA,NA,Unclear,NA,No,The code developed within the methods of this paper was then developed into an R package (mater),2025-09-30,NA,NA,NA,NA,NA,NA,27
2025/09/30 11:05:08 am GMT,1394,10.1111/2041-210X.14405,2024,Methods in Ecology and Evolution,Research Article,"Data and code are available via https://doi.org/10.5281/zenodo.13157933 (Le Penru et al., 2024).",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Zenodo,Yes,Yes,Yes,.csv/.tsv;.wav,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,CC BY,No,NA,No,NA,NA,Yes,NA,Yes,Yes,NA,Yes,"GitHub, Codeberg, Gitlab, or similar platform",No,Yes,Yes,"R (including Rmarkdown, Quarto);MATLAB","native source code (e.g. .R, .py, .jl, etc)",Yes,7,9,No,Not an R package,NA,No,Yes,GPL,NA,No,NA,NA,No,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,120
2025/09/30 11:05:09 am GMT,265,10.1111/1365-2664.14026,2021,Journal of Applied Ecology,Research Article,"Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.5qfttdz3h (Gálvez et al., 2021).",Yes,Chile,Chile,Chile,Yes - First author;Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,9,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,Chile;United States of America,Yes,"We fit single-season occupancy models (MacKenzie et al., 2018) for each species using package unmarked (Fiske & Chandler, 2011) in program R (version 3.3.1, R Development Core Team, 2016), which used detection/non-detection data and repeated sampling occasions to separate the processes of animal occurrence (psi or ψ) and detection (p).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,147
2025/09/30 11:05:45 am GMT,4047,https://doi.org/10.1111/1365-2664.14697,2024,Journal of Animal Ecology,Research Article,"Data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.n5tb2rc0k (Marshall et al., 2024).",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,Yes,2,No,NA,NA,Yes,"in R version 4.2.1 (R Core Team, 2022).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,44
2025/09/30 11:05:54 am GMT,7073,10.1002/2688-8319.12402,2024,Ecological Solutions and Evidence,Research Article,"Data and R-code used to produce the output for this study is avail-able as time-stamped open archive at the Open Science Framework(Fjeld et al., 2024) from the following link: https://doi.org/10.17605/OSF. IO/ TP78A .",Yes,Norway,Norway,Norway,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,OSF (https://osf.io/),Yes,Yes,Yes,.xls(x);.RData,"not a formal README file, on webpage",7,All the data necessary to reproduce all analyses and results are archived.,Yes,CC BY,No,NA,No,NA,NA,Yes,NA,Yes,Yes,NA,Yes,OSF,Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",No,NA,6,No,Not an R package,NA,No,Yes,CC BY,NA,No,NA,NA,No,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,71
2025/09/30 11:06:08 am GMT,3178,10.1111/1365-2656.13679,2022,Journal of Animal Ecology,Research Article,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.x95x69pfq (Wilde et al., 2022).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,10,All the data necessary to reproduce all analyses and results are archived.,NA,CC0,Yes,4,No,NA,United States Virgin Islands,Yes,"We combined all nests in each gull colony from each year and calculated kernel utilization distribution (KUD) isopleth contours as an annual estimate of gull density throughout the plot using the ‘adehabitatHR’ package (Figure S1; Calenge, 2006) within the R programming environment (v.4.0.3; R Development Core Team, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-30,NA,NA,NA,NA,NA,NA,101
2025/09/30 11:06:34 am GMT,1652,http://doi.org/10.1002/pan3.10333,2022,People and Nature,Research Article,"Data from this study are archived at 10.5281/zenodo.6380627 (Gillings & Harris, 2022). As the data include personal details of the volunteers, we have anonymised the data and report locations with low spatial precision.",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Data labourers from the georegion are in the Acknowledgements,No.,Yes,Yes,Zenodo,Yes,Yes,Yes,.csv/.tsv,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,CC BY,No,0,No,0,UNCLEAR,Yes,"All analyses were implemented in R 3.6.1 (R Core Team, 2019).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Some of the steps for the analyses where clearly mentioned. For example, only few R packages used in the analyses were mentioned.",2025-09-30,NA,NA,NA,NA,NA,NA,62
