paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_OTHERpackage_available,code_application_cited,code_comments,country_corresponding,country_first,georegion_data,georegion_author_match,georegion_data_cited,equity_comments,comments,course_of_action,justification,recorder_ID
190,http://doi.org/10.1111/1365-2745.13751,2021,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.866t1g1r4 (Mungi et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,"We fitted general LMM using the lme4 package in R (ver. 1.1.4; Bates et al., 2018). Model statistics were estimated using the nlme package (Pinheiro et al., 2020), while model fit was assessed by using the MuMin package (Barto?Ñ, 2018).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,India,India,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"This is the correct entry. Before, I mistakenly used citations for the PAPER rather than the DATA.",Delete duplicate,Other record for this paper should be deleted,15
2272,10.1111/1365-2435.13525,2020,Functional Ecology,Research Article,Yes,Yes,"The full dataset of the study, including laboratory results and analysis scripts, has been made available through Dryad Digital Repository at http://doi.org/10.5061/dryad.pvmcvdngw (Lindestad, von Schmalensee, Lehmann, & Gotthard, 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt,Yes,8,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,1,7,No,Not an R package,NA,NA,NA,Sweden,Sweden,Sweden,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"The dataset was published in 2020, but cited by a paper published in 2018. That paper was also published by the same researchers.",None,"For paper 2272, so should be kept at face value",81
2507,10.1111/1365-2745.13031,2018,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.f1q5870 (Raymundo, 2018).

Supporting Info",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,3,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,"All parameters were calculated in R 3.1.2 (R Development Core Team, 2013), using the ‚Äúvegan‚Äù (Oksanen et al., 2014) and ‚ÄúspadeR‚Äù packages (Chao, Ma, Hsieh, & Chiu, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Brazil,Brazil,Yes - First author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"spreadsheet had Germany as corresponding author, but there were three corresponding authors and only one were base in Germany",None,Multiple corresponding authors are not an issue,73
2272,http://doi.org/10.1111/1365-2435.13525,2020,Functional Ecology,Research Article,Yes,Yes,"The full dataset of the study, including laboratory results and analysis scripts, has been made available through Dryad Digital Repository at http://doi.org/10.5061/dryad.pvmcvdngw (Lindestad, von Schmalensee, Lehmann, & Gotthard, 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt,Yes,4,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Dryad,Yes,It's in the dryad repository and there's a licence for that (CC0) but none specifically for just the code,NA,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,1,3,No,Not an R package,NA,NA,"Code is very basic, no info about package versions, not unit testing.",Sweden,Sweden,Sweden,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,The R code was in the same Dryad repository as the data so I found it hard to answer the questions about a licence for the code.,None,"For paper 2272, so should be kept at face value",7
6189,https://doi.org/10.1002/pan3.10372,2022,People and Nature,Research Article,Yes,Yes,"The data on which this research is based are archived securely at the James Hutton Institute. To preserve confidentiality and research participants' anonymity as promised in the context of the participants' informed consent, the data are not made publicly available.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This is a qualitative study with data stored for privacy reasons. For this reason I said ""no"" to the ""Is there data?"" question, but this may not be the appropriate response.",Edit,Updated answers to reflect comment,134
3355,10.1111/1365-2435.13697,2020,Functional Ecology,Research Article,Yes,Yes,"All data are available on the Dryad Digital Repository https://doi.org/10.5061/dryad.kh1893243 (Sosiak & Barden, 2020); and R code necessary for the reproduction of analyses are provided in the Supporting Information accompanying this manuscript.",Yes,Dryad,Yes,Yes,CC0,NA,Yes,.xls(x),Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Supplementary materials,No,No,NA,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,9,Yes,Not an R package,NA,NA,NA,United States of America,United States of America,Data was collected from Museum specimens. Some species in the list originating from other georegions than the museum's georegions,Yes - First author;Yes - Last author;,NA,NA,"little confused with the data collection region, as the paper uses data from museum specimens based in USA and the work was data was extracted in USA museums by the authors - so it should be USA as the georegion where the data was generated and the authors were based in (the subsequent question). However, given the reality of museums and some of the species in the list originates from outside USA, so I'm unsure about whether can we consider this as the point of data origination or where the data was measured. I chose the later, based on the fact that they originate from different places.",None,Comment information documented in answers,105
1294,10.1111/1365-2745.12772,2017,Journal of Ecology,Research Article,Yes,Yes,"Sequences were deposited to the metagenomics RAST server (Meyer et al. 2008) under the project name, PHACE_rhizosphere_substrate_addition_2011 (http://metagenomics.anl.gov) (accession numbers from 4686814.3 to 4687035.3) (Pendall 2011).",Yes,MG-RAST,No,Unsure,NA,No,No,.json,Yes,8,Unsure,Yes,"SEM was performed using the lavaan package on r version 3.2.1 (R Core Team, 2013).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Australia,United States of America,Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements;Data labourers are in the Acknowledgements but it is unclear where they are based,UNCLEAR,NA,I could not access the data bcs of firewall restrictions on my laptop,Edit,"I managed to access the database but could not download data (clicked link to download and nothing happened, although I was able to download metadata files)",57
2629,10.1111/1365-2656.13581,2021,Journal of Animal Ecology,Research Article,Yes,Yes,"DATA AVAILABILITY STATEMENT
The data used for statistical analyses and the model are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.02v6wwq3s (Domer et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,7,All the data necessary to reproduce all analyses and results are archived.,Yes,"The OSO model was constructed using R 3.4.4 (R Core Team, 2013), and it is available at Dryad (Domer et al., 2021).",Yes,Yes,Yes,Zenodo,Yes,Yes,Academic Free Licence v3.0,No,Yes,Yes,"markdown / notebook containing code (e.g. .Rmd, .qmd, etc)","R (including Rmarkdown, Quarto)",Yes,3,6,No,Not an R package,NA,NA,Single README for both data and code is in a separate Zenodo repostory to both of these things,Israel,Israel,Israel,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,The methods states the model is accesible in the DRYAD repository but there is only the raw data csv,Edit,The code file is in a Zenodo repository attached to the Dryad repository,127
3440,10.1111/2041-210X.13443,2020,Methods in Ecology and Evolution,Application,Yes,Yes,"No data were used in this manuscript, however, we have included an example dataset with cxr: see the correspondent help files in the package for details. The development version of the package is maintained at GitHub (https://github.com/RadicalCommEcol/cxr), and the stable 1.0.0 version of cxr described in this manuscript is stored at Zenodo https://doi.org/10.5281/zenodo.3909328 (Garc??a-Callejas, Bartomeus, Lancelot, & Godoy, 2020).",Yes,"GitHub, GitLab, Codeberg or similar platform;Zenodo;R package on CRAN",Yes,Yes,Open,Yes,"There are suppose to be in the R package, but I am not sure to find them...",In the package (test data from previous studies),Unsure,NA,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo;CRAN",Yes,Yes,Open,Yes,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,10,10,Yes,Yes,NA,9,NA,Spain,Spain,NO DATA COLLECTED,No data collected,NA,NA,"This paper present a new R package, thus I am not sure about what is considered as ""data"" and ""code""",Delete,Too many issues here to redo quickly,61
6790,10.1111/1365-2664.14255,2022,Journal of Applied Ecology,Research Article,No,NA,"Data are available via Pladias https://doi.org/10.23855/preslia.2021.001 (Chytr?? et al., 2021), BiolFlor https://www.ufz.de/biolflor/index.jsp (Klotz et al., 2002) and LEDA https://doi.org/10.1111/j.1365-2745.2008.01430.x (Kleyer et al., 2008).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"To obtain these local phylogenies, we used the function S.Phylomaker provided by Jin and Qian (2019) in R 3.4 (R Core Team, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,Brazil,NO DATA COLLECTED,NA,NA,NA,"Accessible and useful data for reproducibility was provided in the Supplementary Material, but 2/3 of the links to data that were provided in the Data Availability Statement did not work. This led to some difficulty when filling out the 'Data' section of this Google form.",Edit,Data are not novel so have updated answers to reflect this,67
1347,10.1111/2041-210X.14126,2023,Methods in Ecology and Evolution,Application,No,NA,"The code for the R package can be found in Zenodo (Kusch et al., 2023) and in the project repository (github.com/derek-corcoran-barrios/NetworkExtinction).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",Yes,Yes,GPL,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,7,7,Yes,Yes,NA,9,"Describes the R package NetworkExtinction, available on CRAN and through a Zenodo-linked GitHub repository",NA,NA,NA,NA,NA,NA,Would be helpful if someone can check the whole Code section - it's at the limits of my skills!,Edit,Code answers double-checked,110
7181,http://doi.org/10.1002/pan3.10551,2023,People and Nature,Research Article,Yes,Yes,The metadata collected in order to enable the random forest analysis is available as Dataverse dataset (https://doi.org/10.7910/DVN/7POSNW).,Yes,DataVerse,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,8,All the data necessary to reproduce all analyses and results are archived.,Yes,"For the analysis, we used the package randomForestSRC (Ishwaran & Kogalur, 2021) implemented in R",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Germany,NO DATA COLLECTED,NA,NA,NA,The paper collected metadata on existing data on creative literature. I was not sure whether to consider this as novel data collection or not.,None,Answers follow protocol,22
148,10.1111/1365-2664.14001,2021,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.25338/B8DW6F (Michaels, 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes. Designated README + I also considered information on Dryad webpage as metadata for Q9.,9,All the data necessary to reproduce all analyses and results are archived.,Yes,"Statistics were conducted using the vegan and lme4 packages in r v. 3.5.2 (Bates et al., 2015; Oksanen, 2001).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,Data citation section tricky - Dryad repository contains datasets from two different (but related) papers!,None,Comment information documented in answers,110
1521,http://doi.org/10.1111/2041-210X.13332,2019,Methods in Ecology and Evolution,Application,No,NA,The C/C++ Code specifically developed for the FrogPhone is publicly available in Github (https://github.com/Adriangarridosanchis/FrogPhone; https://zenodo.org/badge/218425862.svg).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Unclear,NA,No,Yes,Yes,.txt,C/C++,Yes,1,2,No,Not an R package,No,2,Unsure on unit testing. No docker container.,NA,NA,NA,NA,NA,NA,Not sure on the unit testing question,None,Comment information documented in answers,137
1522,http://doi.org/10.1002/pan3.10055,2019,People and Nature,Research Article,Yes,Yes,"Except where otherwise noted, all data used in this study were collected as part of the farmer and beekeeper surveys described. These data and associated R scripts are available on request from T.D.B. These data are not publicly available due to them containing information that could compromise participant consent agreements. Informed consent was obtained from all subjects.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,These data and associated R scripts are available on request from T.D.B.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Belgium;Bosnia and Herzegovina;Croatia;Cyprus;Czechia;Estonia;Germany;Greece;Hungary;Ireland;Israel;Italy;Malta;Netherlands (Kingdom of the);Poland;Portugal;Serbia;Slovakia;Slovenia;Spain;United Kingdom of Great Britain and Northern Ireland,"Yes - First author;Yes - Last author;Yes - One or more middle authors;Authors are from SOME regions data was collected from but not all;Workshop participants: This paper was drafted during two workshops organized by D.K. (Wageningen) and A.-M.K. (Freiburg) and financed by the European Cooperation in the field of Scientific and Technical Research ‚Äì COST, SUPER-B (Sustainable Pollination in Europe: joint Research on Bees and other pollinators), reference oc-2013-1-15320.",NA,NA,"I left blank questions about data provided (e.g., DOI, number of citations) because the data were not provided and are only available upon request.",Edit,Updated answers to reflect comment,137
1523,http://doi.org/10.1002/pan3.10199,2021,People and Nature,Research Article,Yes,Yes,"A static URL list of all considered Flickr photographs, a summary table of the image recognition and semantic grouping analysis, and the detailed results of the expert classification procedure are freely available at the Dryad Digital Repository https://doi.org/10.5061/dryad.kwh70rz33 (Egarter Vigl et al., 2021). The accessibility to single photographs, however, may vary over time as Flickr users can change the sharing and access options or remove individual images from their profile. Both, the image recognition engine and the semantic algorithm can be accessed through their API Python Clients accessible at https://github.com/Clarifai/clarifai-python-grpc/ and at https://github.com/Semantria/semantria-sdk respectively.",Yes,"Dryad;GitHub, GitLab, Codeberg or similar platform;FlickR",Yes,Yes,CC0,Yes,"Some of the FlickR links to images work, but others are broken.",.xls(x);Images on FlickR,"No readme, but there is metadata on Dryad",8,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",No,Yes,"Apache;Copyright 2020 Clarifai, Inc.",No,"The paper sends me to two repositories for software that was not directly to my knowledge written by the paper authors, but rather by companies.",Yes,"native source code (e.g. .R, .py, .jl, etc)",Python;Java;Net -- statically or dynamically typed Java Node.js PHP Python Ruby,Yes,5,5,"Yes, for the general software, but not to reproduce the actual paper analysis.",Not an R package,clarifai-grpc https://docs.clarifai.com/; See the Semantria 5 Documentation for info on how to access the new API: https://semantria-docs.lexalytics.com/docs/obtain-your-creds,NA,Does not pass unit tests or have docker containers.,Italy,Italy,Italy,Yes - First author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,Italy,NA,"This paper cites code that does not appear to be written by the authors that is for general algorithms used for computer vision analyses. It was weird to answer these questions as the code appeared 'good' from the perspective of these questions at face value, but there is no way I could reproduce the analyses in the paper.",Delete,Too many issues here to redo quickly,137
1914,http://doi.org/10.1111/2041-210X.13578,2021,Methods in Ecology and Evolution,Research Article,Yes,Yes,"All data and code associated with this manuscript are available at https://doi.org/10.5281/zenodo.4532174 (Doser et al., 2021).",Yes,"GitHub, GitLab, Codeberg or similar platform;Zenodo",Yes,No,NA,NA,Yes,Data was mislead archieved as a R script (.R),No,1,"The data was messy. Wrong extension and no README. Yet, the whole procces seems very straigthfoward and I think I could reproduce the results (even if I don't know what kind of data I'm putting in the code).",Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,No,NA,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc);.txt","R (including Rmarkdown, Quarto)",No,2,7,Yes,Not an R package,NA,36,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,"Although crucial data was gathered to demonstrate the relevance of the model created in the paper, data collection is not part of the author's contribution. Rather, data collection appears to be limited to volunteers and assistants in the acknowledgement","Copying and pasting the comment I leave in Discord


Hi folks, I handling a very confusing paper. I'll share the workflow to explain why I'm confused

Data availability statement declares that data and code are available in Zenodo.
I checked the Zenodo and I successfully found  the code but not the data. So, no data (fine ?üëç  )
Then, I tried to open the R script - a file called ""eawp-data.R"". It didn't open.
then (plot twist)...I renamed ""eawp-data.R"" to ""eawp-data.Rdata"" and it is actually the data!

It took me a lot of time to figureout this workflow",Delete,Too many issues here to redo quickly,60
3414,10.1111/2041-210X.13629,2021,Methods in Ecology and Evolution,Research Article,Yes,Yes,"The code of bRacatus is open source and is available on Zenodo under a GPL (>=2) licence (https://zenodo.org/record/4698910#.YHs9Oj-xXb0, https://doi.org/10.5281/zenodo.4698910) (Arl?©, 2021). The package is available on CRAN (https://cran.r-project.org/web/packages/bRacatus/index.html).",No,NA,No,No,NA,No,No,NA,No,NA,The main analyses of the paper cannot be repeated with the data that has been archived.,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,No,NA,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,3,No,Yes,NA,NA,The archived link was not the full R package but developmental code related to ti,Germany,Germany,NO DATA COLLECTED,NA,NA,NA,I found it really odd the way that the R package was archived/linked in the manuscript; the actual package github/cran was not linked,Delete,Too many issues here to redo quickly,83
3931,10.1111/1365-2435.14106,2022,Functional Ecology,Research Article,Yes,Yes,"The raw sequences were submitted to the National Center for Biotechnology Information (NCBI) with Access No. PRJNA792925 (Qu et al., 2022). https://www.ncbi.nlm.nih.gov/bioproject/PRJNA792925.",Yes,NCBI GenBank,No,Unsure,NA,NA,NA,NA,Yes,NA,Unsure,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,China,China,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,I don't have the molecular knowledge to understand the data that has been archived so I have not been able to answer questions about the data,None,Comment information documented in answers,136
3922,10.1111/1365-2745.13574,2020,Journal of Ecology,Research Article,Yes,Yes,"Field data on plant species abundances are available from the LOng Term Vegetation Sampling (LOTVS) database of Valencia et al., (2020). Experimental plant‚Äìsoil feedback data are available via the Dryad Digital Repository https://doi-org.ezproxy.scu.edu.au/10.5061/dryad.k0p2ngf76 (in 't Zandt,et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt;.Rda,Yes,9,Unsure,Yes,"We analysed all relations between plant abundance and plant‚Äìsoil feedback in R 3.4.3 (R Core Team, 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the),Netherlands (Kingdom of the),Czechia,Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"The data availability statement consisted of two parts. The first part noted that field data are available from the LOng Term Vegetation Sampling database. The dataset of interest is ranked as partly restricted data in the database. The second part, which is the experimental data, is uploaded on DRYAD and can be accessed. Subsequent answers about data accessibility were therefore based on the accessible dataset on DRYAD.",Edit,Answers updated to reflect novel data,132
6494,10.1111/1365-2435.14138,2022,Functional Ecology,Research Article,Yes,Yes,"The raw reads of microbiome and genome sequencing were deposited in NCBI under the project of PRJNA776093 and PRJNA754495, respectively.",Yes,NCBI GenBank,No,Unsure,NA,I could not find the option to download the data.,No,NA,Unsure,NA,Unsure,Yes,"Both alpha and beta diversity of microbiota were calculated using the vegan package in r (Dixon, 2003). The survival of ladybirds was monitored daily for 15‚Äâdays after injection. Survival analysis was conducted using the survminer and survival packages in r.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,China,China,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,NA,No options for downloading the data were found on NCBI website.,None,Comment information documented in answers,65
5568,10.1111/1365-2435.13550,2020,Functional Ecology,Research Article,Yes,Yes,The sequences were deposited in NCBI SRA database (accession no. SRP218212 and no. SRP068522).,No,NCBI SRA database,No,Unsure,NA,Yes,Yes,.fasta,Yes,4,Unsure,Yes,"The above analyses were conducted using vegan package in r software (vegan package, Version 3.1.2). SPSS16.0 (Statistical Product and Service Solutions) calculated the correlation between ses.MNTD as well as assembly processes within each successional year with environment index.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,China,China,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,had issues opening the link in their data availability statement,Edit,Links in data availability statement were broken but I could find the accessions on the NCBI website,115
5569,10.1111/1365-2435.13897,2021,Functional Ecology,Research Article,Yes,Yes,"The data that support the findings of this study are publicly available at the USGS ScienceBase online data repository platform https://doi.org/10.5066/P9OKKJ1B (Havrilla & Munson, 2021).",Yes,Institutional repository,Yes,Yes,No,Yes,Yes,.csv/.tsv,Yes,10,Unsure,Yes,"All statistical analyses were performed in R version 3.6.2 (R Core Team, 2019).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,NA,"could not open link to the data - Error 500: Error processing GroovyPageView: [views/item/view_generic.gsp:201] Error executing tag &lt;g:render&gt;: [views/item/section-bodies/_dates.gsp:4] Error executing tag &lt;g:labelForItemDate&gt;: I/O error on GET request for &quot;https://www.sciencebase.gov/vocab/categories/itemDateTypes&quot;: www.sciencebase.gov; nested exception is java.net.UnknownHostException: www.sciencebase.gov
Servlet:
URI: /catalog/item/606f3362d34ef998701889eb",Edit,Updated answers based on gaining repository access,115
5570,10.1111/1365-2435.14659,2024,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.6t1g1jx7f (Kanold et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.md,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,"Yes, but it's not explicitly mentioned in the data archiving statement",Yes,Yes,Zenodo,Yes,Yes,MIT,No,Yes,Yes,"markdown / notebook containing code (e.g. .Rmd, .qmd, etc);.pdf","R (including Rmarkdown, Quarto)",Yes,3,6,No,Not an R package,NA,NA,NA,Canada,Canada,Canada,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"In the data's README a pdf with the code is mentioned, however I could not find this in the dryad",Edit,The code files are in a Zenodo repository attached to the Dryad repository,115
6902,10.1002/pan3.10400,2022,People and Nature,Research Article,Yes,Yes,"We will archive our data and R code in accordance with the University of Queensland Research Data Management policies and procedures, but as per our agreement with the University of Queensland Ethics office and due to the confidentiality of the data, we are unable to make it publicly available.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"We conducted all three analytical stages in R version 4.1.0 (R Development Core Team, 2013).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Australia,Australia,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,data unavailable for ethical issues,Edit,Cleaned up NAs,115
123,10.1111/1365-2664.14724,2024,Journal of Applied Ecology,Research Article,No,NA,"Data available through the Manaaki Whenua‚ÄìLandcare Research datastore repository https://doi.org/10.7931/1ms1-m079 (Johnstone, Price, & Garvey, 2023).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"All analysis was conducted in ‚ÄòR' Version 4.1.2 (R Core Team, 2013).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I was initially under the impression that they did collect primary data for this paper (due to the way it is written in the methods section). I then realized that they did collected the data but it was published in a previous paper from the same authors, Johnstone and Garvey 2023 paper.",None,Comment information documented in answers,129
1915,http://doi.org/10.1111/1365-2664.12911,2017,Journal of Applied Ecology,Research Article,No,NA,"Ship usage maps are available to download from the Marine Management Organisation, https://data.gov.uk/dataset/mmo1066-vessel-density-grid-2012. Bathymetric metadata and Digital Terrain Model data products were derived from the European Marine Observation and Data Network (EMODNet) Bathymetry portal, available to download http://www.emodnet-bathymetry.eu. Sediment data are available from the British Geological Survey, http://www.bgs.ac.uk and available to view on Maremap, http://www.maremap.ac.uk/index.html. Global Self-consistent, Hierarchical, High-resolution Geography Database (GSHHG) shoreline data version 2.2.2 from NOAA were used to represent land, available from http://www.soest.hawaii.edu/pwessel/gshhg/.

Seal at-sea usage maps, location data for individual seals, locations and source levels for vessels, and SPLs from monitoring data used for acoustic validations are available from the Pure repository, https://doi.org/10.17630/89ac9345-240a-41bb-8f53-b3f14bb114c0. Data files SealAtSeaUsageMaps, SealTelemetryData, SourceLevelData, SoundMonitoringData (Jones et al. 2017).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"I need to read the whole methods, results and supplementary material and there is no idea how they have performed the analysis. No software or package are mentioned, no code is archived.",Edit,Data are not novel so have updated answers to reflect this,60
